,0
Q527SPACE,Main source of energy/fuel for space heating
Q528REFUSE,Refuse collection or removal
Q530MAIL,Mail/post received
Q531FOOD,Distance to the nearest food market
Q531CLINIC,Distance to the nearest clinic
Q531HOSPITAL,Distance to the nearest hospital
Q532FOOD,Mode of transport to the nearest food market
Q532CLINIC,Mode of transport to the nearest clinic
Q532HOSPITAL,Mode of transport to the nearest hospital
Q532MULTI,Mode of transport to nearest multi-purpose community centre
Q613BED,Bedrooms occupied
Q615KITCHEN,Kitchens used/occupied
Q616BATH,Bathrooms used/occupied
Q617TOILET,Toilets used/occupied
Q62OWNSHIP,Ownership of main dwelling
Q653AREA,Estimated area of the dwelling unit in square metres (m2)
Q6841OTHER,Ownership of other dwellings
Q610101MEAT,Meat availability
Q610102SPECIAL,Special meal on festive events
Q610103CLOTH,Clothing
Q610104NEWCLOTH,New clothes
Q610107REGSAV,Regular savings for emergencies
Q610108STRONG,Strong house
Q610109SEPROO,Separate rooms for adults and children
Q610110BATH,Bath or shower
Q610112GARDEN,Garden
Q61032WORSHIP,Place of worship in the local area
Q61033NEIGHBH,Neighbourhood without rubbish in the streets
Q61034NEIGHSMOKE,Neighbourhood without smoke in the air
Q61036MARKET,Large supermarket in the local area
Q61041SOMEONE,Someone to look after household members when sick/ill
Q61045TALK,Someone to talk to
Q7101ASSAULT,Victim of assault
Q7112THEFTLIVES,Victim of livestock/poultry/other animal theft
Q7114MURDER,Victim of murder in the household
Q7117SEXUAL,Victim of sexual offences
Q7118OTHER,Victim of other crimes
Q161APUBATT,Public day-care attendance
Q161APRIVATT,Private day-care attendance
Q1833MEDS,Medication acquired
Q18343FLAT,Medication included in a flat rate
Q18344FRIEND,Medication received from a friend
Q18345NATURE,Medication received from nature
Q18351DOCTOR,Medication prescribed by doctor/nurse
Q18352TRADITIO,Medication prescribed by traditional  or spiritual healer
Q18353SELFPRESC,Self-prescription
Q1836NOTAFFORD,Prescribed medication not affordable
Q19151DRIVLIC,Driving/learners license
Q211OWNLAND,Ownership or access to land
Q2171LIVEST,Livestock production
Q2172POULTRY,Poultry production
Q2173GRAINS,Grains and food crops production
Q2175FRUIT,Fruit and vegetable production
Q221AFOOD,Standards of food consumption
Q221BHOUSING,Standard of housing
Q221CCLOTHING,Standard of clothing
Q221DHEALTH,Standard of health
Q222ADULT,Adults hunger
Q223CHILD,Child hunger
Q224ANOMONEY,No money to buy food
Q224BNOMONEY5,No money for 5 or more days
Q225ASIZE,Meal size cut
Q225BSIZE5,Meal size cut for 5 or more days
Q226ASKIP,Skip meals
Q226BSKIP5,Skip meals for 5 or more days
Q227ALESS,Less variety of foods consumed than expected
Q227BLESS5,Less variety of food consumed for 5 or more days
SexOfHead,Sex of head of household
PopGroupOfHead,Population group of head of household
hhsize,Household size
expenditure_pcp,Expenditure per capita
sick,The individual is sick
pcnetincome,Per Capita net income
